CellID,X_centroid,Y_centroid,Sample,phenotype,FinalPhenotype
54.0,37477.9496047431,37874.7717391304,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
1199.0,38462.2743055556,36322.8489583333,AGSCC_2,tumor cells,Tumor
2002.0,37036.4425855513,38273.4182509506,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
2137.0,38960.9127182045,38626.1995012469,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
2631.0,39215.0703030303,37236.2775757576,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
2754.0,41235.7701019253,36879.7553793885,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
2826.0,37195.3874873865,36668.6215943491,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
3061.0,39911.6001461988,37072.6812865497,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
3541.0,41043.1764705882,37005.5110294118,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
4112.0,40939.0,40796.6902654867,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
4316.0,40118.8781925344,36626.6836935167,AGSCC_2,tumor cells,Tumor
4798.0,37873.2739197531,38069.3317901235,AGSCC_2,stromal cells,Stromal
5609.0,37073.7030201342,38765.466442953,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
5948.0,40740.7913793103,40801.6431034483,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
5979.0,36903.1289875173,36155.8585298197,AGSCC_2,tumor cells,Tumor
6177.0,39891.9782971619,36903.6828046745,AGSCC_2,tumor cells,Tumor
6250.0,40748.78125,40864.2620192308,AGSCC_2,tumor cells,Tumor
6444.0,39150.3964817321,36583.2110960758,AGSCC_2,tumor cells,Tumor
7592.0,40799.6859605911,36428.0677339902,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
7602.0,37326.9326530612,36145.6612244898,AGSCC_2,tumor cells,Tumor
8142.0,39621.8891170431,38735.7741273101,AGSCC_2,tumor cells,Tumor
8213.0,39461.7369565217,39154.3717391304,AGSCC_2,tumor cells,Tumor
8223.0,38491.8309572301,38285.3238289206,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
8334.0,37348.6563814867,36981.8835904628,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
8444.0,37925.6079734219,37428.7873754153,AGSCC_2,tumor cells,Tumor
8911.0,39405.5965583174,36390.2600382409,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
8930.0,37530.3915737299,36403.0384138786,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
9221.0,37723.0382436261,37475.8342776204,AGSCC_2,tumor cells,Tumor
9337.0,40907.8073619632,39274.1570552147,AGSCC_2,tumor cells,Tumor
9733.0,39921.6732954545,36613.4502840909,AGSCC_2,tumor cells,Tumor
10862.0,37129.9445544554,36571.5762376238,AGSCC_2,tumor cells,Tumor
10891.0,40634.6070853462,41261.4492753623,AGSCC_2,tumor cells,Tumor
10953.0,38099.5188679245,37792.1132075472,AGSCC_2,tumor cells,Tumor
11221.0,38114.3625,38243.5053571429,AGSCC_2,tumor cells,Tumor
11545.0,39082.7514340344,36367.9598470363,AGSCC_2,tumor cells,Tumor
11816.0,37266.8953846154,38830.5907692308,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
12441.0,40677.0801393728,41103.93728223,AGSCC_2,tumor cells,Tumor
12680.0,40621.5944444444,36652.1222222222,AGSCC_2,tumor cells,Tumor
12895.0,39870.0251968504,36512.862992126,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
12903.0,41113.2375886525,40641.7712765957,AGSCC_2,tumor cells,Tumor
13068.0,37464.552828175,38283.8249733191,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
13351.0,38653.4022346369,36291.3054003724,AGSCC_2,tumor cells,Tumor
13422.0,38170.8132678133,38531.769041769,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
13462.0,41267.3976470588,36241.6635294118,AGSCC_2,tumor cells,Tumor
14032.0,36830.5495356037,38212.8003095975,AGSCC_2,tumor cells,Tumor
14043.0,40093.9127399651,37000.2757417103,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
14855.0,37090.8396226415,37907.8608490566,AGSCC_2,tumor cells,Tumor
14914.0,38380.545045045,37238.0135135135,AGSCC_2,M2 macrophages,M2 macrophages
14946.0,39041.8042328042,37088.3121693122,AGSCC_2,tumor cells,Tumor
14956.0,40009.3032616239,36606.3178348369,AGSCC_2,tumor cells,Tumor
14965.0,41188.1425339367,40603.7466063348,AGSCC_2,tumor cells,Tumor
16258.0,37741.7645107794,36464.4394693201,AGSCC_2,tumor cells,Tumor
16594.0,39126.9455128205,38622.7355769231,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
16889.0,39622.2721893491,39091.7179487179,AGSCC_2,tumor cells,Tumor
17583.0,40830.0277777778,39161.625,AGSCC_2,tumor cells,Tumor
17646.0,39195.717791411,37289.7533742331,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
17729.0,40741.5596330275,37277.0935779817,AGSCC_2,tumor cells,Tumor
17800.0,37443.2859664607,37399.9276257723,AGSCC_2,tumor cells,Tumor
17829.0,39382.933604336,39276.7317073171,AGSCC_2,tumor cells,Tumor
17896.0,41125.6698872786,36415.8148148148,AGSCC_2,tumor cells,Tumor
18040.0,40814.5861244019,40976.8444976077,AGSCC_2,tumor cells,Tumor
18200.0,37720.1049618321,38205.1354961832,AGSCC_2,tumor cells,Tumor
18541.0,40885.3846153846,39321.2461538462,AGSCC_2,tumor cells,Tumor
19536.0,41161.3001686341,40008.6795952782,AGSCC_2,tumor cells,Tumor
21812.0,38169.405,38027.95875,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
22053.0,40085.2371916509,36500.0853889943,AGSCC_2,tumor cells,Tumor
22351.0,40381.6726027397,36335.9342465753,AGSCC_2,tumor cells,Tumor
22929.0,40826.3193277311,36251.6155462185,AGSCC_2,tumor cells,Tumor
23182.0,37428.2700729927,38614.6642335766,AGSCC_2,tumor cells,Tumor
23882.0,41111.2568940493,36612.618287373,AGSCC_2,tumor cells,Tumor
24767.0,39445.9402460457,37442.2003514938,AGSCC_2,tumor cells,Tumor
24866.0,40892.4289099526,41007.6042654028,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
25229.0,41047.8299120235,40471.9882697947,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
25677.0,40096.5234604106,36722.8885630499,AGSCC_2,tumor cells,Tumor
25688.0,41247.4357798165,41168.2408256881,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
25790.0,37228.5411392405,37928.2151898734,AGSCC_2,tumor cells,Tumor
26649.0,40911.4568690096,41164.0942492013,AGSCC_2,tumor cells,Tumor
26901.0,40862.3019390582,36663.0332409972,AGSCC_2,tumor cells,Tumor
27386.0,41160.0663265306,39013.0136054422,AGSCC_2,tumor cells,Tumor
27601.0,40686.1237864078,40855.1480582524,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
27930.0,39249.7894736842,38797.9052631579,AGSCC_2,tumor cells,Tumor
29313.0,40634.1202046036,41111.7058823529,AGSCC_2,tumor cells,Tumor
29433.0,38693.1934900542,36415.4936708861,AGSCC_2,tumor cells,Tumor
29711.0,37014.4470588235,38550.9367647059,AGSCC_2,tumor cells,Tumor
30775.0,38467.7777777778,38176.0303030303,AGSCC_2,tumor cells,Tumor
30821.0,39561.989615784,36641.1069574247,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
31481.0,38494.5882352941,37329.8363171356,AGSCC_2,stromal cells,Stromal
31836.0,36872.7282758621,37987.9655172414,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
32552.0,36989.5744680851,38187.3343465046,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
32650.0,40648.8100686499,38144.6636155606,AGSCC_2,tumor cells,Tumor
32889.0,39409.3660377358,36248.3157232704,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
33004.0,40791.6835820896,36610.4417910448,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
34620.0,37019.2098298677,38172.7372400756,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
35075.0,37208.9553264605,38458.9347079038,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
35168.0,39784.0721393035,37280.0746268657,AGSCC_2,stromal cells,Stromal
35386.0,38722.7384615385,38762.7408284024,AGSCC_2,tumor cells,Tumor
35853.0,40662.337408313,40987.5525672372,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
37055.0,36845.9642058166,38117.5346756152,AGSCC_2,tumor cells,Tumor
37148.0,36666.7473404255,38501.8085106383,AGSCC_2,tumor cells,Tumor
38132.0,37175.1103286385,38468.6713615023,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
39812.0,37433.3814814815,36215.1388888889,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
40226.0,40763.8115942029,41147.5483091787,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
40464.0,39354.8456189152,37488.8901251738,AGSCC_2,tumor cells,Tumor
40650.0,38274.3424317618,36202.3995037221,AGSCC_2,tumor cells,Tumor
40658.0,39254.9745454545,39966.9381818182,AGSCC_2,tumor cells,Tumor
41030.0,41290.226618705,39142.3848920863,AGSCC_2,stromal cells,Stromal
41305.0,39503.9939271255,38033.7165991903,AGSCC_2,stromal cells,Stromal
41568.0,38117.9419448476,38813.7590711176,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
41643.0,39785.4804941482,40194.6131339402,AGSCC_2,tumor cells,Tumor
41740.0,39872.938239159,38187.2286465177,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
41855.0,38280.8426395939,38735.6903553299,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
41977.0,40055.7819548872,36685.4210526316,AGSCC_2,tumor cells,Tumor
42500.0,38416.0199203187,38028.0199203187,AGSCC_2,tumor cells,Tumor
42882.0,41264.4907161804,39515.6021220159,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
43823.0,39033.4598214286,37125.8705357143,AGSCC_2,tumor cells,Tumor
43866.0,37811.4197802198,37108.9692307692,AGSCC_2,tumor cells,Tumor
43894.0,39376.904290429,38616.2211221122,AGSCC_2,tumor cells,Tumor
44014.0,40580.6872586873,39126.6061776062,AGSCC_2,tumor cells,Tumor
44101.0,38286.1817258883,37969.4873096447,AGSCC_2,tumor cells,Tumor
44444.0,40389.4968553459,36403.4213836478,AGSCC_2,tumor cells,Tumor
44585.0,39200.5992970123,36553.4938488576,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
44731.0,36853.498687664,38318.6404199475,AGSCC_2,tumor cells,Tumor
44925.0,37704.8888888889,37283.6919602529,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
45318.0,39841.6744186046,36849.5162790698,AGSCC_2,tumor cells,Tumor
46094.0,39389.6408094435,36293.0741989882,AGSCC_2,tumor cells,Tumor
46770.0,37824.5303030303,37032.1060606061,AGSCC_2,tumor cells,Tumor
46821.0,38298.4942857143,38334.8414285714,AGSCC_2,tumor cells,Tumor
47041.0,37732.8793103448,36858.3563218391,AGSCC_2,endothelial cells,Endothelial
48384.0,39563.5490196078,37436.2222222222,AGSCC_2,tumor cells,Tumor
49278.0,41166.7826086957,37022.4866760168,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
50012.0,40616.1718309859,40981.4056338028,AGSCC_2,tumor cells,Tumor
50050.0,40094.3172043011,36818.5913978495,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
50425.0,38987.9748163694,40104.9097586569,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
50552.0,38053.0568627451,37018.0509803922,AGSCC_2,stromal cells,Stromal
50586.0,39371.8129154796,39185.4634377968,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
50918.0,40081.8044198895,38277.5359116022,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
52381.0,41296.4435946463,36619.7284894838,AGSCC_2,tumor cells,Tumor
52769.0,41256.4412955466,39358.032388664,AGSCC_2,tumor cells,Tumor
53471.0,40901.8755707763,39611.9303652968,AGSCC_2,tumor cells,Tumor
53669.0,39912.6967871486,39374.0240963855,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
53879.0,39273.6492307692,38376.3630769231,AGSCC_2,tumor cells,Tumor
54906.0,39477.9290429043,39077.595709571,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
54983.0,40714.0972972973,36490.8243243243,AGSCC_2,tumor cells,Tumor
55353.0,39490.706185567,39729.2439862543,AGSCC_2,tumor cells,Tumor
55599.0,37902.7849686848,37650.878914405,AGSCC_2,tumor cells,Tumor
57421.0,39590.2075812274,38678.3249097473,AGSCC_2,tumor cells,Tumor
57488.0,40647.9437172775,38928.3442408377,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
57554.0,40145.5590551181,38341.594488189,AGSCC_2,tumor cells,Tumor
57914.0,38943.9954819277,37022.6912650602,AGSCC_2,tumor cells,Tumor
57932.0,40835.9666666667,36211.7088888889,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
59445.0,37056.1638418079,38335.8305084746,AGSCC_2,tumor cells,Tumor
60104.0,37641.76201373,38464.0503432494,AGSCC_2,tumor cells,Tumor
60379.0,40682.6727828746,36888.3822629969,AGSCC_2,tumor cells,Tumor
60575.0,40957.5256222548,40965.5387994143,AGSCC_2,tumor cells,Tumor
60608.0,41294.5066666667,38991.8266666667,AGSCC_2,tumor cells,Tumor
60648.0,41017.1658536585,37099.8731707317,AGSCC_2,M2 macrophages,M2 macrophages
62063.0,37345.7369668246,37036.2511848341,AGSCC_2,tumor cells,Tumor
62160.0,39840.2709497207,36176.3324022346,AGSCC_2,tumor cells,Tumor
62240.0,40910.0520673813,39308.6202143951,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
62315.0,39738.2625,36228.290625,AGSCC_2,tumor cells,Tumor
62465.0,38525.0742857143,38118.9942857143,AGSCC_2,tumor cells,Tumor
62700.0,37396.2079510703,38471.495412844,AGSCC_2,tumor cells,Tumor
63631.0,39513.5516431925,39713.6244131455,AGSCC_2,tumor cells,Tumor
63862.0,39185.3854447439,37191.5283018868,AGSCC_2,tumor cells,Tumor
64779.0,39197.1111111111,39767.5627705628,AGSCC_2,tumor cells,Tumor
65377.0,40928.1616972477,36585.0447247706,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
65484.0,40315.4938941655,36201.5142469471,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
65605.0,39455.7917808219,36698.9232876712,AGSCC_2,tumor cells,Tumor
66367.0,41051.1040564374,39241.9735449735,AGSCC_2,tumor cells,Tumor
66802.0,39319.9512195122,36713.8919860627,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
66945.0,38398.7979094077,38757.4477351916,AGSCC_2,tumor cells,Tumor
67356.0,40632.9244851259,41145.7745995423,AGSCC_2,tumor cells,Tumor
67521.0,40969.8391420912,40725.3646112601,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
68257.0,40302.537254902,36643.9647058824,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
68525.0,37392.2938053097,38508.5716814159,AGSCC_2,tumor cells,Tumor
68819.0,39838.5541310541,38937.7592592593,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
69076.0,41209.1131541726,40614.3125884017,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
69323.0,37521.8207885305,38374.2401433692,AGSCC_2,tumor cells,Tumor
69324.0,38541.8502772643,37671.9796672828,AGSCC_2,tumor cells,Tumor
70444.0,40997.9948453608,39888.4587628866,AGSCC_2,tumor cells,Tumor
72709.0,40083.0750798722,36611.2252396166,AGSCC_2,tumor cells,Tumor
72965.0,39709.6125827815,36244.1274834437,AGSCC_2,tumor cells,Tumor
73404.0,40282.2319587629,36830.6288659794,AGSCC_2,tumor cells,Tumor
74137.0,39637.593837535,37660.0140056022,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
74486.0,39623.6741826381,40154.0744081173,AGSCC_2,tumor cells,Tumor
74955.0,39314.3042763158,39513.0723684211,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
75146.0,40723.509765625,36158.404296875,AGSCC_2,tumor cells,Tumor
75341.0,38612.7108843537,37455.6632653061,AGSCC_2,stromal cells,Stromal
75786.0,40453.1156069364,40758.3121387283,AGSCC_2,tumor cells,Tumor
75805.0,41031.338770389,40773.9272271016,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
76839.0,39920.0753138075,38925.0920502092,AGSCC_2,tumor cells,Tumor
77075.0,36885.8942731278,38136.8986784141,AGSCC_2,tumor cells,Tumor
77741.0,38774.5963302752,36246.2737003058,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
78313.0,40943.9767054909,40453.9633943428,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
78750.0,39599.0625,38329.8512931034,AGSCC_2,tumor cells,Tumor
78972.0,37337.7355371901,38732.3595041322,AGSCC_2,tumor cells,Tumor
78979.0,38314.7414772727,38652.1619318182,AGSCC_2,tumor cells,Tumor
79267.0,40869.9564032698,40694.5803814714,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
79490.0,40774.2884615385,40936.5552884615,AGSCC_2,tumor cells,Tumor
79725.0,40640.2219178082,36891.9232876712,AGSCC_2,tumor cells,Tumor
80228.0,40658.3755555556,40670.3377777778,AGSCC_2,tumor cells,Tumor
80283.0,39256.6918918919,36592.0144144144,AGSCC_2,tumor cells,Tumor
80467.0,36831.4769874477,38085.079497908,AGSCC_2,tumor cells,Tumor
80945.0,37798.1057692308,36994.5432692308,AGSCC_2,tumor cells,Tumor
81032.0,37303.6780383795,37754.0426439232,AGSCC_2,tumor cells,Tumor
81099.0,40745.1085450346,36228.8637413395,AGSCC_2,tumor cells,Tumor
81800.0,39596.448757764,36249.4223602484,AGSCC_2,tumor cells,Tumor
82011.0,40891.5637342908,39182.4380610413,AGSCC_2,tumor cells,Tumor
82507.0,37043.4131627057,38683.0859232175,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
82984.0,40002.7836734694,40029.1724489796,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
82991.0,37187.3756345178,38839.703891709,AGSCC_2,tumor cells,Tumor
84398.0,37295.9692307692,36149.7777777778,AGSCC_2,tumor cells,Tumor
85153.0,38040.3128964059,37059.5095137421,AGSCC_2,stromal cells,Stromal
85300.0,40915.2389078498,36645.3276450512,AGSCC_2,tumor cells,Tumor
85409.0,38490.4016129032,36344.6080645161,AGSCC_2,tumor cells,Tumor
85954.0,39938.1951219512,36524.6718403548,AGSCC_2,tumor cells,Tumor
87714.0,40469.382739212,41166.3696060038,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
87889.0,40760.416498994,41242.5492957746,AGSCC_2,tumor cells,Tumor
88548.0,37411.6604477612,38055.1287313433,AGSCC_2,tumor cells,Tumor
88576.0,40007.7148241206,39203.8203517588,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
89418.0,37483.4388609715,36301.8492462312,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
89623.0,41029.0172413793,39634.0431034483,AGSCC_2,tumor cells,Tumor
89802.0,38144.8089591568,37931.4927536232,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
90960.0,38678.8094462541,36712.6938110749,AGSCC_2,tumor cells,Tumor
92372.0,37820.783933518,36888.432132964,AGSCC_2,M2 macrophages,M2 macrophages
92410.0,38348.8764302059,38183.0,AGSCC_2,tumor cells,Tumor
92544.0,40435.7396121884,37195.3614958449,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
92585.0,38833.5331753554,37655.0213270142,AGSCC_2,M2 macrophages,M2 macrophages
92826.0,36446.0792838875,38227.0792838875,AGSCC_2,endothelial cells,Endothelial
92847.0,37128.2131410256,36414.1330128205,AGSCC_2,tumor cells,Tumor
93248.0,37064.2204213938,36487.1199351702,AGSCC_2,tumor cells,Tumor
95269.0,36776.5053571429,38104.5053571429,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
97559.0,40400.5103626943,37339.689119171,AGSCC_2,tumor cells,Tumor
97613.0,38564.0735411671,37295.1119104716,AGSCC_2,tumor cells,Tumor
98686.0,40231.1769230769,36736.3307692308,AGSCC_2,tumor cells,Tumor
99941.0,36400.8451882845,38495.9393305439,AGSCC_2,tumor cells,Tumor
100179.0,38525.4411764706,37336.9485294118,AGSCC_2,stromal cells,Stromal
101151.0,40544.5132978723,36597.3125,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
101245.0,41141.4524236984,39284.8366247756,AGSCC_2,tumor cells,Tumor
101270.0,40975.367032967,39548.7428571429,AGSCC_2,tumor cells,Tumor
101359.0,41114.6875,36557.1418269231,AGSCC_2,tumor cells,Tumor
101455.0,37887.7391304348,37028.9275362319,AGSCC_2,stromal cells,Stromal
101533.0,39002.0473815461,38781.4887780549,AGSCC_2,endothelial cells,Endothelial
103661.0,37494.681619256,38506.5557986871,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
104274.0,40811.3039443155,38334.3143851508,AGSCC_2,tumor cells,Tumor
104525.0,40746.2512908778,38698.6092943201,AGSCC_2,tumor cells,Tumor
104559.0,37885.8310344828,36846.6482758621,AGSCC_2,stromal cells,Stromal
104877.0,38019.4346590909,38517.6278409091,AGSCC_2,tumor cells,Tumor
105013.0,40601.6146788991,41120.2706422018,AGSCC_2,tumor cells,Tumor
105106.0,40041.8386336867,38655.3191990577,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
105881.0,36940.6713532513,38025.546572935,AGSCC_2,tumor cells,Tumor
106485.0,37444.5181975737,38634.7833622184,AGSCC_2,tumor cells,Tumor
106486.0,38358.1326259947,38815.1087533157,AGSCC_2,tumor cells,Tumor
106602.0,40759.118705036,41275.6582733813,AGSCC_2,tumor cells,Tumor
107502.0,36843.7402597403,37928.53432282,AGSCC_2,tumor cells,Tumor
107599.0,39197.1988472622,37580.9279538905,AGSCC_2,stromal cells,Stromal
107858.0,38259.3733333333,38291.7422222222,AGSCC_2,tumor cells,Tumor
108629.0,40896.4067357513,41139.1191709845,AGSCC_2,tumor cells,Tumor
108844.0,39951.9530075188,39899.0131578947,AGSCC_2,tumor cells,Tumor
109214.0,38303.8930232558,38802.5395348837,AGSCC_2,tumor cells,Tumor
109759.0,37952.4204946996,37036.371024735,AGSCC_2,stromal cells,Stromal
109980.0,37067.4882075472,38796.929245283,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
110058.0,38552.1654778887,38393.2182596291,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
111194.0,40578.8968386023,39151.993344426,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
111830.0,41032.5800524934,40609.1128608924,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
112073.0,40556.7746741155,36347.6592178771,AGSCC_2,tumor cells,Tumor
112125.0,37635.9717647059,37785.1552941176,AGSCC_2,tumor cells,Tumor
112160.0,38805.1305581835,36194.5894039735,AGSCC_2,tumor cells,Tumor
113577.0,39866.4626865672,37631.1679104478,AGSCC_2,stromal cells,Stromal
114298.0,40928.9297163995,36712.4327990136,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
114325.0,41289.2751879699,39559.5383458647,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
114963.0,41264.1312741313,40929.9826254826,AGSCC_2,tumor cells,Tumor
115122.0,39301.6338028169,38437.7887323944,AGSCC_2,stromal cells,Stromal
115222.0,36939.2295719844,38800.140077821,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
115259.0,38776.1743589744,38274.7692307692,AGSCC_2,tumor cells,Tumor
115327.0,39424.5164556962,37913.0,AGSCC_2,tumor cells,Tumor
115334.0,41260.726,36612.022,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
116400.0,39550.8206039076,37099.9520426288,AGSCC_2,tumor cells,Tumor
116644.0,39622.1494252874,36716.58443855,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
116981.0,38312.7777777778,38773.9912280702,AGSCC_2,tumor cells,Tumor
117247.0,39862.693627451,38345.7083333333,AGSCC_2,tumor cells,Tumor
118347.0,39907.7100149477,39333.5635276532,AGSCC_2,tumor cells,Tumor
118406.0,39696.0352941176,39751.3176470588,AGSCC_2,tumor cells,Tumor
118676.0,41036.1682926829,39514.0073170732,AGSCC_2,tumor cells,Tumor
118746.0,40506.4002659574,36253.1795212766,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
119413.0,38688.4052004334,38725.045503792,AGSCC_2,tumor cells,Tumor
119671.0,40780.3664596273,37724.9565217391,AGSCC_2,tumor cells,Tumor
120426.0,40203.6939351199,36672.9576868829,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
121010.0,40662.2148760331,40868.6515151515,AGSCC_2,tumor cells,Tumor
121716.0,40629.9136690648,40966.7338129496,AGSCC_2,tumor cells,Tumor
121882.0,40973.9951219512,39275.8780487805,AGSCC_2,tumor cells,Tumor
122629.0,41152.9753694581,38597.4852216749,AGSCC_2,stromal cells,Stromal
123053.0,40952.7216216216,39182.7972972973,AGSCC_2,tumor cells,Tumor
123161.0,39221.4714946071,38245.1124807396,AGSCC_2,stromal cells,Stromal
123674.0,40505.6952054795,38202.9589041096,AGSCC_2,tumor cells,Tumor
124639.0,37645.5485714286,36279.9371428571,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
124782.0,40928.2922636103,40877.9971346705,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
125527.0,38481.0793650794,38684.3915343915,AGSCC_2,tumor cells,Tumor
125648.0,37038.1690140845,38030.2300469484,AGSCC_2,tumor cells,Tumor
125720.0,39089.1042471042,40066.3223938224,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
125909.0,39948.7620689655,40191.124137931,AGSCC_2,stromal cells,Stromal
126604.0,39862.2430379747,36153.7924050633,AGSCC_2,stromal cells,Stromal
126687.0,40714.7932489451,38864.5668073136,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
126783.0,37895.0742358079,37051.4366812227,AGSCC_2,endothelial cells,Endothelial
127243.0,38056.4834874505,37909.7807133421,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
127659.0,41047.8004926108,36906.0541871921,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
127891.0,40929.7036082474,39035.3195876289,AGSCC_2,tumor cells,Tumor
128138.0,40139.8307692308,39358.6021978022,AGSCC_2,endothelial cells,Endothelial
128177.0,37347.3847241867,36887.3295615276,AGSCC_2,tumor cells,Tumor
128674.0,37809.6175373134,37626.3078358209,AGSCC_2,tumor cells,Tumor
128900.0,38040.7776223776,37169.4671328671,AGSCC_2,tumor cells,Tumor
129006.0,41183.8165829146,38489.0150753769,AGSCC_2,tumor cells,Tumor
129088.0,40850.1402439024,41256.9024390244,AGSCC_2,tumor cells,Tumor
129361.0,40791.5344827586,41250.4876847291,AGSCC_2,tumor cells,Tumor
129707.0,38123.2612966601,38553.3359528487,AGSCC_2,tumor cells,Tumor
130231.0,40837.7556270096,37686.1704180064,AGSCC_2,stromal cells,Stromal
130934.0,39680.9771573604,36261.4644670051,AGSCC_2,tumor cells,Tumor
130937.0,40238.99543379,36844.0213089802,AGSCC_2,tumor cells,Tumor
131263.0,40867.2409326425,36293.4585492228,AGSCC_2,tumor cells,Tumor
131381.0,36956.0238095238,38176.4821428571,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
131994.0,39832.9566787004,37168.3140794224,AGSCC_2,stromal cells,Stromal
132143.0,40793.2421259843,40596.9940944882,AGSCC_2,Ki67+ tumor cells,Ki67+ tumor
132220.0,41003.0306122449,40898.7908163265,AGSCC_2,tumor cells,Tumor
